# 肺癌 (Non-small-cell lung cancer)
# ICD-11代码: 2C25
TARGETID	GENENAME	TARGTYPE	TARGNAME
T00140	ALOX5	Successful	Arachidonate 5-lipoxygenase (5-LOX)
T00176	MDM2	Clinical trial	Ubiquitin-protein ligase E3 Mdm2 (MDM2)
T01011	N/A	Clinical trial	Aurora kinase (AURK)
T01318	Malaria DHOdehase	Successful	Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)
T01851	ITGB1	Clinical trial	Integrin beta-1 (ITGB1)
T02677	BIRC5	Clinical trial	Apoptosis inhibitor survivin (BIRC5)
T02974	IL1RAP	Clinical trial	Interleukin 1 receptor accessory protein (IL1RAP)
T03500	MMP12	Clinical trial	Matrix metalloproteinase-12 (MMP-12)
T05351	MARCKS	Clinical trial	Myristoylated alanine-rich C-kinase substrate (MARCKS)
T05409	MME	Clinical trial	Neutral endopeptidase (MME)
T06011	N/A	Clinical trial	Transforming growth factor beta (TGFB)
T06413	PRKCA	Literature-reported	PKC-alpha messenger RNA (PRKCA mRNA)
T07173	NTRK1	Successful	Tropomyosin-related kinase A (TrkA)
T07303	FLT4	Successful	Vascular endothelial growth factor receptor 3 (FLT-4)
T08391	JAK2	Successful	Janus kinase 2 (JAK-2)
T09058	TPBG	Clinical trial	Oncotrophoblast glycoprotein 5T4 (TPBG)
T09092	IL10	Clinical trial	Interleukin-10 (IL10)
T09826	TOP1	Successful	DNA topoisomerase I (TOP1)
T09826	TOP1	Successful	DNA topoisomerase I (TOP1)
T11253	HSPB1	Discontinued	HSPB1 messenger RNA (HSPB1 mRNA)
T11451	TLR9	Clinical trial	Toll-like receptor 9 (TLR9)
T12097	MAGEA4	Clinical trial	Melanoma-associated antigen 4 (MAGEA4)
T13127	FNTB; FNTA	Successful	Farnesyl protein transferase (Ftase)
T13852	S1PR1	Successful	Sphingosine-1-phosphate receptor 1 (S1PR1)
T14597	ERBB2	Successful	Erbb2 tyrosine kinase receptor (HER2)
T15000	CTLA4	Successful	Cytotoxic T-lymphocyte protein 4 (CTLA-4)
T15000	CTLA4	Successful	Cytotoxic T-lymphocyte protein 4 (CTLA-4)
T15797	SMYD2	Preclinical	SET and MYND domain-containing protein 2 (SMYD2)
T16308	PIN1	Clinical trial	Rotamase Pin1 (PIN1)
T16340	IL1A	Clinical trial	Interleukin-1 alpha (IL1A)
T16538	EGFR	Successful	EGFR T790M mutant (EGFR T790M)
T16601	CEACAM5	Clinical trial	Carcinoembryonic antigen CEA (CD66e)
T16601	CEACAM5	Clinical trial	Carcinoembryonic antigen CEA (CD66e)
T16739	KDM1A	Clinical trial	Lysine-specific histone demethylase 1 (LSD)
T17629	TACSTD2	Successful	Tumor associated calcium signal transducer 2 (TACSTD2)
T17986	EZH1	Clinical trial	Enhancer of zeste homolog 1 (EZH1)
T18477	HSP90AA1	Successful	Heat shock protein 90 alpha (HSP90A)
T18779	MUC1	Clinical trial	Mucin-1 (MUC1)
T18876	PTGER4	Clinical trial	Prostaglandin E2 receptor EP4 (PTGER4)
T20185	N/A	Clinical trial	Fucosyl GM1 (FucGM1)
T20474	N/A	Clinical trial	DNA topoisomerase (TOP)
T20563	EGFR	Successful	EGFR Exon20ins mutant (EGFR Exon20ins)
T20710	N/A	Successful	Interleukin 2 receptor (IL2R)
T20761	VEGFA	Successful	Vascular endothelial growth factor A (VEGFA)
T22350	ENG	Clinical trial	Endoglin CD105 (ENG)
T22350	ENG	Clinical trial	Endoglin CD105 (ENG)
T23003	N/A	Successful	MAPK/ERK kinase kinase (MAP3K)
T23003	N/A	Successful	MAPK/ERK kinase kinase (MAP3K)
T23953	PSCA	Clinical trial	Prostate stem cell antigen (PSCA)
T25258	ABCB1	Clinical trial	Multidrug resistance protein 1 (ABCB1)
T25265	EZH2	Successful	Enhancer of zeste homolog 2 (EZH2)
T25307	RORC	Clinical trial	Nuclear receptor ROR-gamma (RORG)
T25419	N/A	Clinical trial	Tropomyosin receptor kinase (Trk)
T25726	GPC3	Clinical trial	Glypican-3 (GPC3)
T25739	SLC39A6	Clinical trial	Solute carrier family 39 member 6 (SLC39A6)
T25739	SLC39A6	Clinical trial	Solute carrier family 39 member 6 (SLC39A6)
T29960	WT1	Clinical trial	Wilms tumor protein (WT1)
T31309	BCL2	Successful	Apoptosis regulator Bcl-2 (BCL-2)
T31391	DPP4	Successful	Dipeptidyl peptidase 4 (DPP-4)
T31946	N/A	Successful	Vascular endothelial growth factor receptor (VEGFR)
T31946	N/A	Successful	Vascular endothelial growth factor receptor (VEGFR)
T33765	MCL1	Successful	Mcl-1 messenger RNA (MCL-1 mRNA)
T34867	N/A	Successful	Poly [ADP-ribose] polymerase (PARP)
T35194	DUSP1	Clinical trial	Dual specificity protein phosphatase 1 (DUSP1)
T35486	NRAS	Clinical trial	GTPase NRas (NRAS)
T35940	MAP2K1	Clinical trial	ERK activator kinase 1 (MEK1)
T38284	BCR-ABL1	Successful	Fusion protein Bcr-Abl (Bcr-Abl)
T39054	DUT	Clinical trial	dUTP pyrophosphatase (DUT)
T40010	EGFL7	Clinical trial	Epidermal growth factor-like protein 7 (EGFL7)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T40874	TIGIT	Clinical trial	V-set and immunoglobulin domain-containing protein 9 (TIGIT)
T40874	TIGIT	Clinical trial	V-set and immunoglobulin domain-containing protein 9 (TIGIT)
T41560	EGFR	Clinical trial	EGFR messenger RNA (EGFR mRNA)
T41963	N/A	Clinical trial	Toll-like receptor (TLR)
T42854	MAGEA1	Clinical trial	Melanoma-associated antigen 1 (MAGEA1)
T43415	N/A	Successful	Tyrosine-protein kinase (PTK)
T44458	CDK9	Clinical trial	Cyclin-dependent kinase 9 (CDK9)
T44684	NOTCH3	Clinical trial	Notch-3 receptor (NOTCH3)
T44771	TGFB2	Clinical trial	TGF beta-2 messenger RNA (TGFB2 mRNA)
T46084	TNFSF10	Clinical trial	TNF related apoptosis inducing ligand (TNFSF10)
T46365	CDC25B	Clinical trial	M-phase inducer phosphatase 2 (MPIP2)
T46456	RXRG	Successful	Retinoic acid receptor RXR-gamma (RXRG)
T46482	TLR7	Successful	Toll-like receptor 7 (TLR7)
T47101	FGFR1	Successful	Fibroblast growth factor receptor 1 (FGFR1)
T47381	GSTP1	Clinical trial	GSTP1 messenger RNA (GSTP1 mRNA)
T47387	BCL2	Clinical trial	BCL-2 messenger RNA (BCL2 mRNA)
T47768	OPRM1	Successful	Opioid receptor mu (MOP)
T47863	EPCAM	Clinical trial	Tumor-associated calcium signal transducer 1 (EPCAM)
T48069	IGF1R	Successful	Insulin-like growth factor I receptor (IGF1R)
T48429	IL15RA	Clinical trial	Interleukin 15 receptor alpha (IL15RA)
T49493	HBA2	Successful	Hemoglobin (HB)
T49507	EPHB4	Clinical trial	Ephrin type-B receptor 4 (EPHB4)
T49898	CDK1	Clinical trial	Cyclin-dependent kinase 1 (CDK1)
T50461	N/A	Clinical trial	Ribonuclease (RNase)
