# 乳腺癌 (Breast cancer)
# ICD-11代码: 2C60-2C6Y
TARGETID	GENENAME	TARGTYPE	TARGNAME
T00176	MDM2	Clinical trial	Ubiquitin-protein ligase E3 Mdm2 (MDM2)
T01003	ERN1	Clinical trial	Endoplasmic reticulum to nucleus signaling 1 (ERN1)
T01110	CSF1R	Clinical trial	Colony stimulating factor-1 receptor (CSF-1R)
T01358	N/A	Clinical trial	Cell cycle (CC)
T05031	PIK3CB	Clinical trial	PI3-kinase beta (PIK3CB)
T06569	CA6	Successful	Carbonic anhydrase VI (CA-VI)
T07173	NTRK1	Successful	Tropomyosin-related kinase A (TrkA)
T07191	MAP4K2	Patented-recorded	MEK kinase kinase 2 (MAP4K2)
T07303	FLT4	Successful	Vascular endothelial growth factor receptor 3 (FLT-4)
T08391	JAK2	Successful	Janus kinase 2 (JAK-2)
T09058	TPBG	Clinical trial	Oncotrophoblast glycoprotein 5T4 (TPBG)
T09130	N/A	Successful	Muscarinic acetylcholine receptor (CHRM)
T09826	TOP1	Successful	DNA topoisomerase I (TOP1)
T11211	AR	Successful	Androgen receptor (AR)
T11241	S1PR3	Patented-recorded	Sphingosine-1-phosphate receptor 3 (S1PR3)
T11253	HSPB1	Discontinued	HSPB1 messenger RNA (HSPB1 mRNA)
T11822	N/A	Successful	Retinoic acid receptor (RAR)
T12108	CRY1	Preclinical	Cryptochrome circadian clock 1 (CRY1)
T13176	EIF2AK3	Clinical trial	PRKR-like endoplasmic reticulum kinase (PERK)
T13201	CA1	Successful	Carbonic anhydrase I (CA-I)
T13260	CYP19A1	Successful	Aromatase (CYP19A1)
T14342	HIV RT	Successful	Human immunodeficiency virus Reverse transcriptase (HIV RT)
T14597	ERBB2	Successful	Erbb2 tyrosine kinase receptor (HER2)
T15000	CTLA4	Successful	Cytotoxic T-lymphocyte protein 4 (CTLA-4)
T16347	PTPN1	Clinical trial	Protein-tyrosine phosphatase 1B (PTP1B)
T16601	CEACAM5	Clinical trial	Carcinoembryonic antigen CEA (CD66e)
T16987	CA12	Successful	Carbonic anhydrase XII (CA-XII)
T17629	TACSTD2	Successful	Tumor associated calcium signal transducer 2 (TACSTD2)
T17687	N/A	Successful	Fibroblast growth factor receptor (FGFR)
T17758	PLAU	Successful	Urokinase-type plasminogen activator (PLAU)
T18477	HSP90AA1	Successful	Heat shock protein 90 alpha (HSP90A)
T18779	MUC1	Clinical trial	Mucin-1 (MUC1)
T18950	GNRH1	Successful	Leutinizing-hormone-releasing hormone (GNRH1)
T18972	CD3G	Clinical trial	T-cell surface glycoprotein CD3 gamma (CD3G)
T19160	PLA2G2A	Clinical trial	Group IIA phospholipase A2 (GIIA sPLA2)
T20401	CA2	Successful	Carbonic anhydrase II (CA-II)
T20761	VEGFA	Successful	Vascular endothelial growth factor A (VEGFA)
T21890	CEACAM3	Successful	Carcinoembryonic antigen CGM1 (CD66d)
T21960	ANGPT2	Successful	Angiopoietin-2 (ANGPT2)
T22350	ENG	Clinical trial	Endoglin CD105 (ENG)
T22939	PGR	Successful	Progesterone receptor (PGR)
T23003	N/A	Successful	MAPK/ERK kinase kinase (MAP3K)
T23547	N/A	Successful	Opioid receptor (OPR)
T25265	EZH2	Successful	Enhancer of zeste homolog 2 (EZH2)
T25739	SLC39A6	Clinical trial	Solute carrier family 39 member 6 (SLC39A6)
T26851	C3	Successful	Complement C3 (CO3)
T27918	DDX5	Clinical trial	ATP-dependent RNA helicase DDX5 (DDX5)
T30803	GSR	Patented-recorded	Glutathione reductase (GR)
T31072	N/A	Clinical trial	Interleukine 12 (IL-12)
T31309	BCL2	Successful	Apoptosis regulator Bcl-2 (BCL-2)
T31902	ADAM10	Clinical trial	Mammalian disintegrin-metalloprotease (ADAM10)
T31992	CA14	Successful	Carbonic anhydrase XIV (CA-XIV)
T32984	N/A	Clinical trial	Microtubule (MicroTu)
T33489	STS	Successful	Steryl-sulfatase (STS)
T33629	N/A	Clinical trial	Prostate cance cell (PCC)
T34429	CHRNA7	Successful	Neuronal acetylcholine receptor alpha-7 (CHRNA7)
T34867	N/A	Successful	Poly [ADP-ribose] polymerase (PARP)
T35265	S100A4	Literature-reported	S100 calcium-binding protein A4 (S100A4)
T35423	VTCN1	Clinical trial	Immune costimulatory protein B7H4 (VTCN1)
T38875	PRKAA1; PRKAB1; PRKAG1	Clinical trial	AMP-activated protein kinase (AMPK)
T39031	N/A	Clinical trial	Tumor antigen NGcGM3 (NGcGM3)
T39996	EHMT1	Literature-reported	Euchromatic histone-lysine N-methyltransferase 1 (EHMT1)
T40016	NR3C1	Successful	Glucocorticoid receptor (NR3C1)
T40111	IMPDH1	Successful	Inosine-5'-monophosphate dehydrogenase 1 (IMPDH1)
T40160	N/A	Clinical trial	Aryl hydrocarbon receptor signaling pathway (AhR pathway)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T42157	MAP3K19	Patented-recorded	SPS1/STE20-related protein kinase YSK4 (YSK4)
T42760	RPS6KB2	Clinical trial	Ribosomal protein S6 kinase beta-2 (RPS6KB2)
T43189	N/A	Successful	Tubulin (TUB)
T43920	N/A	Successful	Carbonic anhydrase (CA)
T44141	ANGPT1	Clinical trial	Angiopoietin-1 (ANGPT1)
T46456	RXRG	Successful	Retinoic acid receptor RXR-gamma (RXRG)
T46521	AR	Clinical trial	Androgen receptor messenger RNA (AR mRNA)
T47101	FGFR1	Successful	Fibroblast growth factor receptor 1 (FGFR1)
T47863	EPCAM	Clinical trial	Tumor-associated calcium signal transducer 1 (EPCAM)
T48069	IGF1R	Successful	Insulin-like growth factor I receptor (IGF1R)
T48945	TERT	Successful	TERT messenger RNA (TERT mRNA)
T49898	CDK1	Clinical trial	Cyclin-dependent kinase 1 (CDK1)
T50261	N/A	Literature-reported	PI3-kinase (PIK3C)
T51076	NTRK3	Successful	NT-3 growth factor receptor (TrkC)
T51426	NR1H4	Successful	Farnesoid X-activated receptor (FXR)
T51672	NFKBIA	Clinical trial	NF-kappa-B inhibitor alpha (NFKBIA)
T51908	CRY2	Preclinical	Cryptochrome-2 (CRY2)
T52227	Candi TMP1	Successful	Candida Thymidylate synthase (Candi TMP1)
T52522	ADRB2	Successful	Adrenergic receptor beta-2 (ADRB2)
T52624	N/A	Successful	Platelet-derived growth factor receptor (PDGFR)
