# 结直肠癌 (Colorectal cancer)
# ICD-11代码: 2B91
TARGETID	GENENAME	TARGTYPE	TARGNAME
T05031	PIK3CB	Clinical trial	PI3-kinase beta (PIK3CB)
T07173	NTRK1	Successful	Tropomyosin-related kinase A (TrkA)
T07663	PDE5A	Successful	Phosphodiesterase 5A (PDE5A)
T09826	TOP1	Successful	DNA topoisomerase I (TOP1)
T10362	N/A	Successful	Enzyme unspecific (Enz)
T10822	CDK8	Clinical trial	Cyclin-dependent kinase 8 (CDK8)
T11451	TLR9	Clinical trial	Toll-like receptor 9 (TLR9)
T13127	FNTB; FNTA	Successful	Farnesyl protein transferase (Ftase)
T14143	TGFB2	Clinical trial	Transforming growth factor beta 2 (TGFB2)
T14231	LGR5	Clinical trial	Leucine-rich repeat-containing GPCR 5 (LGR5)
T14597	ERBB2	Successful	Erbb2 tyrosine kinase receptor (HER2)
T14731	SIRT1	Clinical trial	NAD-dependent deacetylase sirtuin-1 (SIRT1)
T15739	TP53	Clinical trial	Cellular tumor antigen p53 (TP53)
T16340	IL1A	Clinical trial	Interleukin-1 alpha (IL1A)
T16601	CEACAM5	Clinical trial	Carcinoembryonic antigen CEA (CD66e)
T18779	MUC1	Clinical trial	Mucin-1 (MUC1)
T18972	CD3G	Clinical trial	T-cell surface glycoprotein CD3 gamma (CD3G)
T19579	IL2RB	Clinical trial	Interleukin 2 receptor beta (IL2RB)
T20761	VEGFA	Successful	Vascular endothelial growth factor A (VEGFA)
T21960	ANGPT2	Successful	Angiopoietin-2 (ANGPT2)
T23003	N/A	Successful	MAPK/ERK kinase kinase (MAP3K)
T25637	LOXL2	Clinical trial	Lysyl oxidase homolog 2 (LOXL2)
T26851	C3	Successful	Complement C3 (CO3)
T29130	STAT3	Successful	Signal transducer and activator of transcription 3 (STAT3)
T29815	N/A	Clinical trial	Neoplasm antigen (NA)
T30040	VEGFB	Successful	Vascular endothelial growth factor B (VEGFB)
T31946	N/A	Successful	Vascular endothelial growth factor receptor (VEGFR)
T35289	KLRK1	Clinical trial	NKG2 D activating NK receptor (KLRK1)
T35486	NRAS	Clinical trial	GTPase NRas (NRAS)
T37434	PROM1	Clinical trial	Prominin-1 (PROM1)
T40010	EGFL7	Clinical trial	Epidermal growth factor-like protein 7 (EGFL7)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T43332	F7	Successful	Coagulation factor VII (F7)
T43718	TLR5	Clinical trial	Toll-like receptor 5 (TLR5)
T43739	SCN10A	Successful	Voltage-gated sodium channel alpha Nav1.8 (SCN10A)
T45968	RNF43	Clinical trial	RING finger protein 43 (RNF43)
T45993	N/A	Successful	Calcium channel unspecific (CaC)
T46084	TNFSF10	Clinical trial	TNF related apoptosis inducing ligand (TNFSF10)
T47101	FGFR1	Successful	Fibroblast growth factor receptor 1 (FGFR1)
T47107	PRKCG	Successful	Protein kinase C gamma (PRKCG)
T47381	GSTP1	Clinical trial	GSTP1 messenger RNA (GSTP1 mRNA)
T47387	BCL2	Clinical trial	BCL-2 messenger RNA (BCL2 mRNA)
T47863	EPCAM	Clinical trial	Tumor-associated calcium signal transducer 1 (EPCAM)
T48069	IGF1R	Successful	Insulin-like growth factor I receptor (IGF1R)
T48429	IL15RA	Clinical trial	Interleukin 15 receptor alpha (IL15RA)
T48945	TERT	Successful	TERT messenger RNA (TERT mRNA)
T51076	NTRK3	Successful	NT-3 growth factor receptor (TrkC)
T51223	IL21	Clinical trial	Interleukin-21 (IL21)
T51407	XPO1	Clinical trial	Exportin-1 (XPO1)
T51666	ATP4A	Successful	Gastric H(+)/K(+) ATPase alpha (ATP4A)
T51693	MAGEA3	Clinical trial	Melanoma-associated antigen 3 (MAGEA3)
T52227	Candi TMP1	Successful	Candida Thymidylate synthase (Candi TMP1)
T52624	N/A	Successful	Platelet-derived growth factor receptor (PDGFR)
T53524	PDGFRA	Successful	Platelet-derived growth factor receptor alpha (PDGFRA)
T53764	FAP	Clinical trial	Prolyl endopeptidase FAP (FAP)
T54156	MMP9	Clinical trial	Matrix metalloproteinase-9 (MMP-9)
T55273	DLL4	Clinical trial	Delta-like protein 4 (DLL4)
T55293	ITGA2	Clinical trial	Integrin alpha-2 (ITGA2)
T56418	ALK	Successful	ALK tyrosine kinase receptor (ALK)
T57001	GPA33	Clinical trial	Cell surface A33 antigen (GPA33)
T57700	KIT	Successful	Tyrosine-protein kinase Kit (KIT)
T59328	EGFR	Successful	Epidermal growth factor receptor (EGFR)
T59631	PDCD1	Successful	Programmed cell death protein 1 (PD-1)
T60345	N/A	Successful	T-cell surface glycoprotein CD3 (CD3)
T60529	PTGS1	Successful	Prostaglandin G/H synthase 1 (COX-1)
T60631	RET	Successful	Proto-oncogene c-Ret (RET)
T60636	OGDH	Clinical trial	Alpha-ketoglutarate dehydrogenase (OGDH)
T63934	IFNA2	Successful	Interferon-alpha 2 (IFNA2)
T63966	FLT1	Successful	Vascular endothelial growth factor receptor 1 (FLT-1)
T65755	N/A	Successful	Histone deacetylase (HDAC)
T66665	PTGS2	Successful	Prostaglandin G/H synthase 2 (COX-2)
T67103	ITGAV	Clinical trial	Integrin alpha-V (ITGAV)
T67619	AKT1	Successful	RAC-alpha serine/threonine-protein kinase (AKT1)
T67801	LTF	Clinical trial	Lactotransferrin (LTF)
T67849	PIK3CD	Successful	PI3-kinase delta (PIK3CD)
T68547	HDAC1	Successful	Histone deacetylase 1 (HDAC1)
T69128	ROS1	Successful	Proto-oncogene c-Ros (ROS1)
T70067	TNFRSF10B	Clinical trial	TRAIL receptor 2 (TRAIL-R2)
T70792	PGF	Successful	Placenta growth factor (PlGF)
T71164	N/A	Clinical trial	Ganglioside GD2 (GD2)
T71266	AKT3	Successful	RAC-gamma serine/threonine-protein kinase (AKT3)
T74002	CSF2	Successful	Granulocyte-macrophage colony-stimulating factor (CSF2)
T74312	FLT3	Successful	Fms-like tyrosine kinase 3 (FLT-3)
T75890	DPYD	Successful	Dihydrothymine dehydrogenase (DPYD)
T76685	CNR1	Successful	Cannabinoid receptor 1 (CB1)
T77365	ADORA2A	Successful	Adenosine A2a receptor (ADORA2A)
T78114	CD55	Clinical trial	Complement decay-accelerating factor (CD55)
T79162	RSPO3	Clinical trial	R-spondin-3 (RSPO3)
T79249	TYMS	Successful	Thymidylate synthase messenger RNA (TYMS mRNA)
T80276	PIK3CA	Successful	PI3-kinase alpha (PIK3CA)
T80975	KDR	Successful	Vascular endothelial growth factor receptor 2 (KDR)
T81774	N/A	Successful	Tubulin polymerization (TubP)
T84703	NTRK2	Successful	BDNF/NT-3 growth factors receptor (TrkB)
T85554	CD27	Clinical trial	T-cell activation antigen CD27 (CD27)
T86350	ERBB3	Clinical trial	Erbb3 tyrosine kinase receptor (Erbb-3)
T86428	FNTB	Literature-reported	CAAX farnesyltransferase beta (FNTB)
T86528	FDPS	Successful	Geranyltranstransferase (FDPS)
T86679	ADORA2B	Successful	Adenosine A2b receptor (ADORA2B)
T86748	CD248	Clinical trial	Endosialin (CD248)
T86836	N/A	Successful	Human Deoxyribonucleic acid (hDNA)
T89697	IDO1	Successful	Indoleamine 2,3-dioxygenase 1 (IDO1)
T91696	FN1	Clinical trial	Fibronectin (FN1)
T94085	RARA	Clinical trial	Retinoic acid receptor alpha (RARA)
T95913	PIK3CG	Successful	PI3-kinase gamma (PIK3CG)
T96144	TOP2A; TOP2B	Successful	DNA topoisomerase II (TOP2)
T96721	N/A	Successful	Vascular endothelial growth factor (VEGF)
T97136	MKNK1	Clinical trial	MAPK signal-integrating kinase 1 (MKNK1)
